 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
145.00    146.00    146.00     5.000E+00     1.503E-06     1.035E-05     4.588E-23      0.000E+00      0.000E+00        0.000E+00       9.026E-02      4.680E-03
146.00    147.00    147.00     5.000E+00     1.550E-06     1.021E-05     4.525E-23      0.000E+00      0.000E+00        0.000E+00       8.759E-02      4.666E-03
147.00    148.00    148.00     5.000E+00     1.600E-06     1.007E-05     4.463E-23      0.000E+00      0.000E+00        0.000E+00       8.501E-02      4.653E-03
148.00    149.00    149.00     5.000E+00     1.652E-06     9.935E-06     4.403E-23      0.000E+00      0.000E+00        0.000E+00       8.251E-02      4.641E-03
149.00    150.00    150.00     5.000E+00     1.705E-06     9.803E-06     4.343E-23      0.000E+00      0.000E+00        0.000E+00       8.009E-02      4.628E-03
150.00    151.00    151.00     5.000E+00     1.761E-06     9.673E-06     4.284E-23      0.000E+00      0.000E+00        0.000E+00       7.774E-02      4.617E-03
151.00    152.00    152.00     5.000E+00     1.819E-06     9.546E-06     4.227E-23      0.000E+00      0.000E+00        0.000E+00       7.547E-02      4.605E-03
152.00    153.00    153.00     5.000E+00     1.880E-06     9.422E-06     4.171E-23      0.000E+00      0.000E+00        0.000E+00       7.328E-02      4.594E-03
153.00    154.00    154.00     5.000E+00     1.942E-06     9.300E-06     4.116E-23      0.000E+00      0.000E+00        0.000E+00       7.115E-02      4.584E-03
154.00    155.00    155.00     5.000E+00     2.006E-06     9.180E-06     4.062E-23      0.000E+00      0.000E+00        0.000E+00       6.908E-02      4.574E-03
155.00    156.00    156.00     5.000E+00     2.073E-06     9.063E-06     4.009E-23      0.000E+00      0.000E+00        0.000E+00       6.709E-02      4.564E-03
156.00    157.00    157.00     5.000E+00     2.142E-06     8.948E-06     3.957E-23      0.000E+00      0.000E+00        0.000E+00       6.515E-02      4.554E-03
157.00    158.00    158.00     5.000E+00     2.213E-06     8.835E-06     3.906E-23      0.000E+00      0.000E+00        0.000E+00       6.328E-02      4.545E-03
158.00    159.00    159.00     5.000E+00     2.286E-06     8.724E-06     3.857E-23      0.000E+00      0.000E+00        0.000E+00       6.146E-02      4.537E-03
159.00    160.00    160.00     5.000E+00     2.362E-06     8.615E-06     3.808E-23      0.000E+00      0.000E+00        0.000E+00       5.970E-02      4.528E-03
160.00    161.00    161.00     5.000E+00     2.440E-06     8.509E-06     3.760E-23      0.000E+00      0.000E+00        0.000E+00       5.800E-02      4.520E-03
161.00    162.00    162.00     5.000E+00     2.521E-06     8.404E-06     3.713E-23      0.000E+00      0.000E+00        0.000E+00       5.634E-02      4.512E-03
162.00    163.00    163.00     5.000E+00     2.604E-06     8.301E-06     3.667E-23      0.000E+00      0.000E+00        0.000E+00       5.474E-02      4.504E-03
163.00    164.00    164.00     5.000E+00     2.689E-06     8.200E-06     3.621E-23      0.000E+00      0.000E+00        0.000E+00       5.319E-02      4.497E-03
164.00    165.00    165.00     5.000E+00     2.777E-06     8.101E-06     3.577E-23      0.000E+00      0.000E+00        0.000E+00       5.168E-02      4.490E-03
165.00    166.00    166.00     5.000E+00     2.867E-06     8.004E-06     3.533E-23      0.000E+00      0.000E+00        0.000E+00       5.022E-02      4.483E-03
166.00    167.00    167.00     5.000E+00     2.961E-06     7.908E-06     3.491E-23      0.000E+00      0.000E+00        0.000E+00       4.881E-02      4.476E-03
167.00    168.00    168.00     5.000E+00     3.056E-06     7.814E-06     3.449E-23      0.000E+00      0.000E+00        0.000E+00       4.744E-02      4.470E-03
168.00    169.00    169.00     5.000E+00     3.155E-06     7.722E-06     3.407E-23      0.000E+00      0.000E+00        0.000E+00       4.611E-02      4.464E-03
169.00    170.00    170.00     5.000E+00     3.256E-06     7.631E-06     3.367E-23      0.000E+00      0.000E+00        0.000E+00       4.482E-02      4.457E-03
170.00    171.00    171.00     5.000E+00     3.360E-06     7.542E-06     3.327E-23      0.000E+00      0.000E+00        0.000E+00       4.357E-02      4.452E-03
171.00    172.00    172.00     5.000E+00     3.467E-06     7.455E-06     3.288E-23      0.000E+00      0.000E+00        0.000E+00       4.235E-02      4.446E-03
172.00    173.00    173.00     5.000E+00     3.577E-06     7.369E-06     3.250E-23      0.000E+00      0.000E+00        0.000E+00       4.118E-02      4.441E-03
173.00    174.00    174.00     5.000E+00     3.690E-06     7.284E-06     3.212E-23      0.000E+00      0.000E+00        0.000E+00       4.004E-02      4.435E-03
174.00    175.00    175.00     5.000E+00     3.805E-06     7.201E-06     3.175E-23      0.000E+00      0.000E+00        0.000E+00       3.893E-02      4.430E-03
175.00    176.00    176.00     5.000E+00     3.924E-06     7.120E-06     3.139E-23      0.000E+00      0.000E+00        0.000E+00       3.785E-02      4.425E-03
176.00    177.00    177.00     5.000E+00     4.046E-06     7.039E-06     3.103E-23      0.000E+00      0.000E+00        0.000E+00       3.681E-02      4.420E-03
177.00    178.00    178.00     5.000E+00     4.170E-06     6.960E-06     3.068E-23      0.000E+00      0.000E+00        0.000E+00       3.580E-02      4.416E-03
178.00    179.00    179.00     5.000E+00     4.299E-06     6.883E-06     3.034E-23      0.000E+00      0.000E+00        0.000E+00       3.482E-02      4.411E-03
179.00    180.00    180.00     5.000E+00     4.430E-06     6.807E-06     3.000E-23      0.000E+00      0.000E+00        0.000E+00       3.386E-02      4.407E-03
180.00    181.00    181.00     5.000E+00     4.564E-06     6.732E-06     2.966E-23      0.000E+00      0.000E+00        0.000E+00       3.294E-02      4.403E-03
181.00    182.00    182.00     5.000E+00     4.702E-06     6.658E-06     2.934E-23      0.000E+00      0.000E+00        0.000E+00       3.204E-02      4.399E-03
182.00    183.00    183.00     5.000E+00     4.844E-06     6.585E-06     2.904E-23      0.000E+00      0.000E+00        0.000E+00       3.117E-02      4.395E-03
183.00    184.00    184.00     5.000E+00     4.989E-06     6.514E-06     2.872E-23      0.000E+00      0.000E+00        0.000E+00       3.032E-02      4.391E-03
184.00    185.00    185.00     5.000E+00     5.138E-06     6.444E-06     2.841E-23      0.000E+00      0.000E+00        0.000E+00       2.950E-02      4.387E-03
185.00    186.00    186.00     5.000E+00     5.290E-06     6.374E-06     2.811E-23      0.000E+00      0.000E+00        0.000E+00       2.870E-02      4.384E-03
186.00    187.00    187.00     5.000E+00     5.446E-06     6.306E-06     2.781E-23      0.000E+00      0.000E+00        0.000E+00       2.792E-02      4.380E-03
187.00    188.00    188.00     5.000E+00     5.605E-06     6.239E-06     2.751E-23      0.000E+00      0.000E+00        0.000E+00       2.717E-02      4.377E-03
188.00    189.00    189.00     5.000E+00     5.768E-06     6.174E-06     2.722E-23      0.000E+00      0.000E+00        0.000E+00       2.644E-02      4.373E-03
189.00    190.00    190.00     5.000E+00     5.936E-06     6.109E-06     2.693E-23      0.000E+00      0.000E+00        0.000E+00       2.573E-02      4.370E-03
190.00    191.00    191.00     5.000E+00     6.107E-06     6.045E-06     2.665E-23      0.000E+00      0.000E+00        0.000E+00       2.503E-02      4.367E-03
