 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
162.00    163.00    163.00     -1.000E-03     4.825E-03     3.320E-13     8.381E-25      0.000E+00      0.000E+00        0.000E+00       2.350E-03      4.268E-03
163.00    164.00    164.00     -1.000E-03     4.886E-03     3.280E-13     8.282E-25      0.000E+00      0.000E+00        0.000E+00       2.350E-03      4.268E-03
164.00    165.00    165.00     -1.000E-03     4.946E-03     3.240E-13     8.185E-25      0.000E+00      0.000E+00        0.000E+00       2.349E-03      4.268E-03
165.00    166.00    166.00     -1.000E-03     5.007E-03     3.201E-13     8.090E-25      0.000E+00      0.000E+00        0.000E+00       2.349E-03      4.268E-03
166.00    167.00    167.00     -1.000E-03     5.068E-03     3.163E-13     7.997E-25      0.000E+00      0.000E+00        0.000E+00       2.348E-03      4.268E-03
167.00    168.00    168.00     -1.000E-03     5.129E-03     3.126E-13     7.905E-25      0.000E+00      0.000E+00        0.000E+00       2.348E-03      4.268E-03
168.00    169.00    169.00     -1.000E-03     5.191E-03     3.089E-13     7.815E-25      0.000E+00      0.000E+00        0.000E+00       2.348E-03      4.268E-03
169.00    170.00    170.00     -1.000E-03     5.253E-03     3.052E-13     7.726E-25      0.000E+00      0.000E+00        0.000E+00       2.347E-03      4.268E-03
170.00    171.00    171.00     -1.000E-03     5.315E-03     3.017E-13     7.639E-25      0.000E+00      0.000E+00        0.000E+00       2.347E-03      4.268E-03
171.00    172.00    172.00     -1.000E-03     5.377E-03     2.982E-13     7.554E-25      0.000E+00      0.000E+00        0.000E+00       2.346E-03      4.268E-03
172.00    173.00    173.00     -1.000E-03     5.440E-03     2.948E-13     7.470E-25      0.000E+00      0.000E+00        0.000E+00       2.346E-03      4.268E-03
173.00    174.00    174.00     -1.000E-03     5.503E-03     2.914E-13     7.387E-25      0.000E+00      0.000E+00        0.000E+00       2.345E-03      4.268E-03
174.00    175.00    175.00     -1.000E-03     5.567E-03     2.881E-13     7.306E-25      0.000E+00      0.000E+00        0.000E+00       2.345E-03      4.268E-03
175.00    176.00    176.00     -1.000E-03     5.631E-03     2.848E-13     7.226E-25      0.000E+00      0.000E+00        0.000E+00       2.345E-03      4.268E-03
176.00    177.00    177.00     -1.000E-03     5.695E-03     2.816E-13     7.147E-25      0.000E+00      0.000E+00        0.000E+00       2.344E-03      4.268E-03
177.00    178.00    178.00     -1.000E-03     5.760E-03     2.784E-13     7.070E-25      0.000E+00      0.000E+00        0.000E+00       2.344E-03      4.268E-03
178.00    179.00    179.00     -1.000E-03     5.825E-03     2.753E-13     6.994E-25      0.000E+00      0.000E+00        0.000E+00       2.343E-03      4.268E-03
179.00    180.00    180.00     -1.000E-03     5.890E-03     2.723E-13     6.920E-25      0.000E+00      0.000E+00        0.000E+00       2.343E-03      4.268E-03
180.00    181.00    181.00     -1.000E-03     5.956E-03     2.693E-13     6.972E-25      0.000E+00      0.000E+00        0.000E+00       2.343E-03      4.268E-03
181.00    182.00    182.00     -1.000E-03     6.022E-03     2.663E-13     6.899E-25      0.000E+00      0.000E+00        0.000E+00       2.342E-03      4.268E-03
182.00    183.00    183.00     -1.000E-03     6.088E-03     2.634E-13     6.828E-25      0.000E+00      0.000E+00        0.000E+00       2.342E-03      4.268E-03
183.00    184.00    184.00     -1.000E-03     6.155E-03     2.606E-13     6.757E-25      0.000E+00      0.000E+00        0.000E+00       2.342E-03      4.268E-03
184.00    185.00    185.00     -1.000E-03     6.222E-03     2.577E-13     6.688E-25      0.000E+00      0.000E+00        0.000E+00       2.341E-03      4.268E-03
185.00    186.00    186.00     -1.000E-03     6.289E-03     2.550E-13     6.620E-25      0.000E+00      0.000E+00        0.000E+00       2.341E-03      4.268E-03
186.00    187.00    187.00     -1.000E-03     6.357E-03     2.523E-13     6.553E-25      0.000E+00      0.000E+00        0.000E+00       2.341E-03      4.268E-03
187.00    188.00    188.00     -1.000E-03     6.425E-03     2.496E-13     6.487E-25      0.000E+00      0.000E+00        0.000E+00       2.340E-03      4.268E-03
