 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     ctau_v2     Br(H->AA)      Width_H   
16.01   19.40    100.00   -4.274E-01   -7.371E-01   7.371E-01     8.181E-01     5.606E-06      6.889E-01       3.111E-01       6.437E-04      1.214E-07      1.042E+03 
11.49   17.96    100.00   8.057E-01   -8.779E-01   8.779E-01     1.597E+02     3.702E-05      8.669E-01       1.331E-01       2.929E-05      3.102E-10      1.162E+04 
22.33   29.42    100.00   -2.325E-01   -3.167E-01   3.167E-01     6.245E-01     8.798E-07      7.569E-01       2.430E-01       1.617E-05      1.219E-06      6.756E+01 
47.50   52.33    100.00   2.068E-01   -9.695E-01   9.695E-01     3.835E-03     1.607E-07      6.737E-01       3.235E-01       9.283E-05      8.977E-06      1.553E+00 
57.50   59.47    100.00   1.274E-01   -7.247E-01   7.247E-01     2.451E-03     4.189E-08      6.033E-01       3.742E-01       8.537E-03      9.294E-05      1.899E-01 
16.80   22.66    100.00   -9.357E-01   -1.685E-01   1.685E-01     4.815E+00     2.454E-05      7.807E-01       2.193E-01       4.320E-05      7.721E-08      3.603E+03 
44.85   52.00    100.00   -9.171E-01   1.334E-01   -1.334E-01     6.630E-03     3.536E-06      6.883E-01       3.116E-01       1.354E-05      6.132E-06      4.096E+01 
45.87   47.39    100.00   -2.443E-01   -8.659E-01   8.659E-01     1.168E-04     2.402E-07      5.343E-01       4.644E-01       3.385E-02      2.240E-05      3.314E+00 
32.08   34.04    100.00   7.273E-01   -9.520E-01   9.520E-01     5.645E-03     4.277E-06      5.737E-01       4.263E-01       9.203E-03      1.147E-08      1.678E+02 
11.71   13.03    100.00   -6.514E-02   1.925E-01   -1.925E-01     2.821E-01     2.339E-07      6.000E-01       3.999E-01       7.500E-02      5.410E-07      1.017E+02 
20.75   24.21    100.00   6.389E-01   -5.261E-01   5.261E-01     2.203E-01     7.649E-06      6.664E-01       3.336E-01       5.558E-04      6.286E-11      7.978E+02 
34.69   38.79    100.00   1.545E-01   2.367E-02   -2.367E-02     9.012E-03     1.658E-07      6.658E-01       3.333E-01       2.211E-04      4.889E-06      4.476E+00 
10.20   16.29    100.00   4.410E-01   -2.368E-01   2.368E-01     1.520E+02     1.383E-05      8.766E-01       1.234E-01       4.008E-05      7.218E-10      5.617E+03 
43.68   45.67    100.00   -7.641E-03   1.030E-02   -1.030E-02     2.982E-05     2.585E-10      1.839E-01       4.658E-01       8.193E-03      3.089E-03      1.227E-02 
48.13   50.58    100.00   8.425E-01   -6.124E-01   6.124E-01     8.392E-04     2.598E-06      5.759E-01       4.240E-01       2.842E-03      3.411E-07      2.798E+01 
24.70   25.55    100.00   3.115E-01   -8.010E-01   8.010E-01     1.188E-02     1.301E-06      5.403E-01       4.597E-01       6.341E-01      9.496E-08      1.088E+02 
51.14   57.65    100.00   -9.700E-01   -2.782E-01   2.782E-01     5.345E-03     3.058E-06      6.878E-01       3.120E-01       2.094E-05      1.201E-05      2.183E+01 
56.85   59.48    100.00   7.096E-01   2.257E-01   -2.257E-01     1.667E-03     1.329E-06      6.175E-01       3.819E-01       1.910E-03      6.317E-07      6.341E+00 
55.36   58.19    100.00   8.651E-01   -2.795E-01   2.795E-01     1.985E-03     2.081E-06      6.070E-01       3.927E-01       1.357E-03      1.106E-06      1.175E+01 
16.12   20.80    100.00   2.281E-02   -9.243E-01   9.243E-01     2.595E+00     1.575E-08      8.409E-01       1.566E-01       1.321E-04      1.752E-05      2.360E+00 
23.74   24.20    100.00   4.006E-02   8.348E-01   -8.348E-01     1.114E-02     2.324E-08      5.299E-01       4.680E-01       1.558E+01      1.719E-05      2.191E+00 
32.10   39.62    100.00   3.554E-01   -1.283E-01   1.283E-01     8.177E-02     1.020E-06      7.585E-01       2.413E-01       1.115E-05      2.221E-07      3.024E+01 
37.78   39.33    100.00   -3.336E-01   -2.321E-01   2.321E-01     8.342E-04     6.546E-07      5.447E-01       4.550E-01       2.977E-02      5.765E-06      1.673E+01 
13.53   18.90    100.00   -2.059E-01   9.997E-01   -9.997E-01     6.374E+00     1.784E-06      7.936E-01       2.064E-01       6.969E-05      1.876E-07      4.228E+02 
20.79   21.98    100.00   6.782E-01   4.340E-01   -4.340E-01     2.988E-02     8.584E-06      5.612E-01       4.388E-01       1.208E-01      3.917E-10      1.058E+03 
16.84   20.42    100.00   3.502E-01   3.007E-01   -3.007E-01     7.190E-01     3.420E-06      7.002E-01       2.998E-01       4.851E-04      1.533E-08      5.562E+02 
36.99   43.27    100.00   5.474E-01   -6.165E-01   6.165E-01     6.832E-03     1.837E-06      7.048E-01       2.951E-01       2.619E-05      4.438E-09      3.870E+01 
20.25   26.26    100.00   -4.599E-01   5.693E-02   -5.693E-02     1.079E+00     4.151E-06      7.510E-01       2.489E-01       3.688E-05      3.270E-07      4.074E+02 
40.07   41.69    100.00   4.971E-01   9.398E-01   -9.398E-01     2.343E-04     1.295E-06      5.555E-01       4.444E-01       2.424E-02      2.779E-08      2.698E+01 
21.80   25.06    100.00   8.565E-01   -8.723E-01   8.723E-01     1.458E-01     1.251E-05      6.520E-01       3.480E-01       7.345E-04      5.573E-09      1.183E+03 
45.75   47.79    100.00   1.239E-01   -2.880E-01   2.880E-01     1.805E-04     6.212E-08      5.833E-01       4.113E-01       7.251E-03      2.764E-05      7.927E-01 
19.90   23.26    100.00   4.260E-01   9.247E-01   -9.247E-01     2.452E-01     3.683E-06      6.685E-01       3.315E-01       6.488E-04      1.010E-08      4.234E+02 
12.00   18.45    100.00   3.715E-01   -3.838E-01   3.838E-01     4.274E+01     7.269E-06      8.621E-01       1.379E-01       2.933E-05      3.614E-09      2.082E+03 
30.23   37.49    100.00   -9.544E-01   -7.322E-01   7.322E-01     1.317E-01     8.264E-06      7.323E-01       2.677E-01       1.347E-05      9.252E-07      2.996E+02 
57.99   58.80    100.00   2.650E-01   6.845E-01   -6.845E-01     1.659E-03     1.783E-07      5.388E-01       4.562E-01       7.677E-01      8.615E-06      8.515E-01 
60.22   66.99    100.00   -9.758E-01   3.701E-02   -3.701E-02     1.557E-04     2.244E-06      9.989E-01       0.000E+00       1.683E-05      6.359E-05      3.970E+00 
33.39   36.52    100.00   -3.266E-01   -6.829E-01   6.829E-01     7.893E-03     7.979E-07      5.970E-01       4.028E-01       8.421E-04      3.620E-06      2.684E+01 
14.90   18.04    100.00   5.082E-01   5.582E-01   -5.582E-01     9.391E-01     9.073E-06      6.937E-01       3.063E-01       9.582E-04      7.942E-10      1.975E+03 
41.48   42.17    100.00   9.930E-01   2.450E-01   -2.450E-01     8.407E-05     4.830E-06      5.223E-01       4.776E-01       1.967E+00      2.099E-07      9.575E+01 
54.49   55.55    100.00   9.526E-01   -4.034E-02   4.034E-02     1.292E-03     2.604E-06      5.362E-01       4.635E-01       1.961E-01      1.125E-06      1.804E+01 
22.44   29.90    100.00   9.790E-01   -5.019E-01   5.019E-01     1.498E+00     1.546E-05      7.896E-01       2.104E-01       1.262E-05      1.344E-08      1.124E+03 
18.74   25.91    100.00   1.684E-01   6.203E-03   -6.203E-03     1.411E+00     6.455E-07      8.251E-01       1.748E-01       1.590E-05      3.376E-07      6.940E+01 
33.67   34.85    100.00   -3.396E-01   -5.902E-01   5.902E-01     2.619E-03     8.488E-07      5.378E-01       4.620E-01       1.173E-01      3.225E-06      3.095E+01 
25.42   29.64    100.00   -7.683E-01   -4.194E-01   4.194E-01     1.149E-01     7.486E-06      6.638E-01       3.361E-01       2.004E-04      4.598E-07      4.734E+02 
18.63   26.60    100.00   -6.248E-02   -7.186E-01   7.186E-01     5.403E+00     8.988E-08      7.687E-01       2.308E-01       9.507E-06      5.085E-06      1.052E+01 
24.86   30.57    100.00   -2.466E-01   -4.548E-01   4.548E-01     2.580E-01     8.052E-07      7.026E-01       2.973E-01       4.522E-05      1.656E-06      5.093E+01 
34.42   35.45    100.00   4.475E-01   -9.014E-01   9.014E-01     2.042E-03     1.412E-06      5.388E-01       4.612E-01       2.367E-01      4.984E-08      4.822E+01 
61.84   62.51    100.00   8.535E-01   -3.647E-01   3.647E-01     4.166E-05     1.629E-06      9.972E-01       0.000E+00       2.291E+00      9.271E-06      1.523E+00 
28.27   32.92    100.00   -2.380E-01   -7.222E-02   7.222E-02     7.161E-02     5.854E-07      6.536E-01       3.462E-01       1.206E-04      2.858E-06      2.850E+01 
51.96   52.25    100.00   5.443E-02   -4.641E-01   4.641E-01     7.413E-04     9.332E-09      4.927E-01       4.581E-01       1.749E+02      3.108E-04      8.711E-02 
47.40   51.08    100.00   4.348E-01   -8.217E-01   8.217E-01     1.596E-03     7.131E-07      6.196E-01       3.798E-01       3.614E-04      2.233E-07      7.549E+00 
