 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)     Br(H->AA)      Width_H   
1920.78   1932.21    1935.83   2.300E+00   6.033E-01   -6.033E-01     1.188E-01     1.263E-08      0.000E+00       0.000E+00       0.000E+00      2.271E-03      4.267E-03 
1271.37   1274.73    1283.85   1.089E-01   -3.581E-02   3.581E-02     1.184E-01     6.455E-11      0.000E+00       0.000E+00       0.000E+00      2.368E-03      4.268E-03 
1753.19   1765.33    1760.95   -4.231E-01   5.338E-01   -5.338E-01     1.188E-01     5.129E-10      0.000E+00       0.000E+00       0.000E+00      2.345E-03      4.268E-03 
1977.17   1991.21    1977.37   1.748E+00   9.643E-01   -9.643E-01     1.179E-01     6.882E-09      0.000E+00       0.000E+00       0.000E+00      2.221E-03      4.267E-03 
1170.68   1183.98    1180.50   8.956E-01   8.940E-01   -8.940E-01     1.194E-01     5.151E-09      0.000E+00       0.000E+00       0.000E+00      2.272E-03      4.267E-03 
1603.79   1612.52    1604.18   1.503E+00   -5.012E-02   5.012E-02     1.173E-01     7.735E-09      0.000E+00       0.000E+00       0.000E+00      2.204E-03      4.267E-03 
1239.54   1245.90    1245.19   -4.381E-01   9.159E-01   -9.159E-01     1.175E-01     1.099E-09      0.000E+00       0.000E+00       0.000E+00      2.368E-03      4.268E-03 
1784.90   1787.45    1796.95   -3.474E-01   -9.667E-01   9.667E-01     1.189E-01     3.336E-10      0.000E+00       0.000E+00       0.000E+00      2.364E-03      4.268E-03 
1022.91   1025.53    1028.70   7.056E-01   -9.061E-01   9.061E-01     1.173E-01     4.187E-09      0.000E+00       0.000E+00       0.000E+00      2.243E-03      4.267E-03 
1575.46   1587.62    1581.03   -4.621E-01   7.531E-01   -7.531E-01     1.178E-01     7.574E-10      0.000E+00       0.000E+00       0.000E+00      2.344E-03      4.268E-03 
1995.51   2008.31    2005.25   2.458E+00   -5.695E-02   5.695E-02     1.183E-01     1.336E-08      0.000E+00       0.000E+00       0.000E+00      2.244E-03      4.267E-03 
1212.67   1229.36    1219.37   4.238E-01   3.109E-01   -3.109E-01     1.178E-01     1.075E-09      0.000E+00       0.000E+00       0.000E+00      2.296E-03      4.268E-03 
1482.13   1492.43    1497.35   1.455E+00   -6.656E-01   6.656E-01     1.194E-01     8.483E-09      0.000E+00       0.000E+00       0.000E+00      2.289E-03      4.267E-03 
1551.14   1566.38    1567.75   1.181E+00   8.834E-01   -8.834E-01     1.189E-01     5.104E-09      0.000E+00       0.000E+00       0.000E+00      2.317E-03      4.268E-03 
1715.52   1718.23    1730.02   1.684E+00   7.168E-02   -7.168E-02     1.178E-01     8.488E-09      0.000E+00       0.000E+00       0.000E+00      2.284E-03      4.267E-03 
1748.71   1768.50    1752.01   1.119E+00   5.769E-01   -5.769E-01     1.179E-01     3.608E-09      0.000E+00       0.000E+00       0.000E+00      2.250E-03      4.267E-03 
1754.26   1773.87    1756.25   8.842E-01   6.902E-01   -6.902E-01     1.175E-01     2.237E-09      0.000E+00       0.000E+00       0.000E+00      2.254E-03      4.267E-03 
1464.06   1470.26    1475.85   -1.043E-01   -9.737E-01   9.737E-01     1.180E-01     4.470E-11      0.000E+00       0.000E+00       0.000E+00      2.368E-03      4.268E-03 
1871.96   1888.65    1887.66   8.270E-01   -9.815E-01   9.815E-01     1.190E-01     1.719E-09      0.000E+00       0.000E+00       0.000E+00      2.331E-03      4.268E-03 
1788.01   1795.62    1806.66   1.217E+00   9.258E-01   -9.258E-01     1.174E-01     4.077E-09      0.000E+00       0.000E+00       0.000E+00      2.330E-03      4.268E-03 
1098.58   1105.19    1107.32   8.495E-01   -8.661E-01   8.661E-01     1.193E-01     5.262E-09      0.000E+00       0.000E+00       0.000E+00      2.261E-03      4.267E-03 
951.91   959.14    958.84   3.110E-01   -1.662E-01   1.662E-01     1.187E-01     9.389E-10      0.000E+00       0.000E+00       0.000E+00      2.305E-03      4.268E-03 
1085.18   1085.43    1085.73   -7.123E-01   6.297E-01   -6.297E-01     1.192E-01     3.792E-09      0.000E+00       0.000E+00       0.000E+00      2.375E-03      4.268E-03 
1897.34   1912.55    1906.73   2.227E+00   1.641E-01   -1.641E-01     1.194E-01     1.213E-08      0.000E+00       0.000E+00       0.000E+00      2.244E-03      4.267E-03 
1391.51   1405.89    1398.29   1.320E+00   9.365E-01   -9.365E-01     1.189E-01     7.916E-09      0.000E+00       0.000E+00       0.000E+00      2.235E-03      4.267E-03 
