 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
151.00    152.00    152.00     -1.000E+00     8.858E-04     3.819E-07     2.337E-24      0.000E+00      0.000E+00        0.000E+00       1.314E-02      4.314E-03
152.00    153.00    153.00     -1.000E+00     9.070E-04     3.769E-07     2.311E-24      0.000E+00      0.000E+00        0.000E+00       1.293E-02      4.314E-03
153.00    154.00    154.00     -1.000E+00     9.285E-04     3.720E-07     2.285E-24      0.000E+00      0.000E+00        0.000E+00       1.273E-02      4.313E-03
154.00    155.00    155.00     -1.000E+00     9.504E-04     3.672E-07     2.260E-24      0.000E+00      0.000E+00        0.000E+00       1.254E-02      4.312E-03
155.00    156.00    156.00     -1.000E+00     9.726E-04     3.625E-07     2.235E-24      0.000E+00      0.000E+00        0.000E+00       1.235E-02      4.311E-03
156.00    157.00    157.00     -1.000E+00     9.952E-04     3.579E-07     2.210E-24      0.000E+00      0.000E+00        0.000E+00       1.217E-02      4.310E-03
157.00    158.00    158.00     -1.000E+00     1.018E-03     3.534E-07     2.186E-24      0.000E+00      0.000E+00        0.000E+00       1.199E-02      4.309E-03
158.00    159.00    159.00     -1.000E+00     1.041E-03     3.490E-07     2.162E-24      0.000E+00      0.000E+00        0.000E+00       1.182E-02      4.309E-03
159.00    160.00    160.00     -1.000E+00     1.065E-03     3.446E-07     2.139E-24      0.000E+00      0.000E+00        0.000E+00       1.165E-02      4.308E-03
160.00    161.00    161.00     -1.000E+00     1.089E-03     3.403E-07     2.116E-24      0.000E+00      0.000E+00        0.000E+00       1.149E-02      4.307E-03
161.00    162.00    162.00     -1.000E+00     1.113E-03     3.362E-07     2.093E-24      0.000E+00      0.000E+00        0.000E+00       1.133E-02      4.307E-03
162.00    163.00    163.00     -1.000E+00     1.138E-03     3.320E-07     2.070E-24      0.000E+00      0.000E+00        0.000E+00       1.117E-02      4.306E-03
