Mv1      lamL   xs_14TeV    xs_lim_36.1(fb)    xs_lim_100(fb)    xs_lim_3000(fb)
350.0    9.00       15.26          61.03             36.67             6.70
350.0    10.00       18.87          60.27             36.21             6.61
350.0    11.00       22.81          64.70             38.87             7.10
350.0    12.00       27.18          61.93             37.21             6.79
360.0    1.00       0.16          65.82             39.55             7.22
360.0    2.00       0.65          50.80             30.52             5.57
360.0    3.00       1.46          61.70             37.07             6.77
360.0    4.00       2.59          59.67             35.85             6.55
360.0    5.00       4.05          66.88             40.19             7.34
360.0    6.00       5.82          53.83             32.34             5.90
360.0    7.00       7.92          67.20             40.37             7.37
360.0    8.00       10.35          57.88             34.78             6.35
360.0    9.00       13.11          62.59             37.60             6.87
360.0    10.00       16.15          58.12             34.92             6.38
360.0    11.00       19.59          58.93             35.41             6.46
360.0    12.00       23.26          59.80             35.93             6.56
370.0    1.00       0.14          56.76             34.10             6.23
370.0    2.00       0.56          54.46             32.72             5.97
370.0    3.00       1.25          55.03             33.07             6.04
370.0    4.00       2.22          59.24             35.59             6.50
370.0    5.00       3.48          59.32             35.64             6.51
370.0    6.00       5.01          63.32             38.04             6.95
370.0    7.00       6.83          65.11             39.12             7.14
370.0    8.00       8.91          59.73             35.89             6.55
370.0    9.00       11.26          57.75             34.70             6.33
370.0    10.00       13.87          58.90             35.39             6.46
370.0    11.00       16.84          60.94             36.61             6.68
370.0    12.00       20.05          60.35             36.26             6.62
380.0    1.00       0.12          56.20             33.77             6.16
380.0    2.00       0.48          52.79             31.72             5.79
380.0    3.00       1.08          59.15             35.54             6.49
380.0    4.00       1.92          55.25             33.20             6.06
380.0    5.00       3.00          54.64             32.83             5.99
380.0    6.00       4.32          55.08             33.09             6.04
380.0    7.00       5.88          50.27             30.21             5.51
380.0    8.00       7.71          52.98             31.83             5.81
380.0    9.00       9.73          59.99             36.04             6.58
380.0    10.00       12.01          56.51             33.95             6.20
380.0    11.00       14.53          57.43             34.50             6.30
380.0    12.00       17.29          54.14             32.53             5.94
390.0    1.00       0.10          52.77             31.71             5.79
390.0    2.00       0.42          57.15             34.34             6.27
390.0    3.00       0.93          63.23             37.99             6.94
390.0    4.00       1.66          53.86             32.36             5.91
390.0    5.00       2.60          56.93             34.21             6.25
390.0    6.00       3.74          54.18             32.56             5.94
390.0    7.00       5.09          53.77             32.31             5.90
390.0    8.00       6.65          54.39             32.68             5.97
390.0    9.00       8.43          57.73             34.68             6.33
390.0    10.00       10.40          56.76             34.10             6.23
390.0    11.00       12.57          53.32             32.04             5.85
390.0    12.00       14.96          58.78             35.32             6.45
400.0    1.00       0.09          54.09             32.50             5.93
400.0    2.00       0.36          54.97             33.03             6.03
400.0    3.00       0.81          53.97             32.43             5.92
400.0    4.00       1.44          61.48             36.94             6.74
400.0    5.00       2.25          59.65             35.84             6.54
400.0    6.00       3.25          61.19             36.76             6.71
400.0    7.00       4.41          58.60             35.21             6.43
400.0    8.00       5.78          57.73             34.68             6.33
400.0    9.00       7.31          50.81             30.53             5.57
400.0    10.00       9.02          54.55             32.78             5.98
400.0    11.00       10.92          55.54             33.37             6.09
400.0    12.00       12.99          53.34             32.05             5.85
410.0    1.00       0.08          54.26             32.60             5.95
410.0    2.00       0.31          56.59             34.00             6.21
410.0    3.00       0.71          56.98             34.24             6.25
410.0    4.00       1.26          49.53             29.76             5.43
410.0    5.00       1.97          60.03             36.07             6.59
410.0    6.00       2.83          60.52             36.36             6.64
410.0    7.00       3.85          55.56             33.38             6.10
410.0    8.00       5.03          52.16             31.34             5.72
410.0    9.00       6.37          51.34             30.85             5.63
410.0    10.00       7.86          52.20             31.36             5.73
410.0    11.00       9.51          52.94             31.81             5.81
410.0    12.00       11.31          58.90             35.39             6.46
420.0    1.00       0.07          53.42             32.10             5.86
420.0    2.00       0.27          55.85             33.56             6.13
420.0    3.00       0.62          48.12             28.91             5.28
420.0    4.00       1.10          47.62             28.61             5.22
420.0    5.00       1.72          53.38             32.07             5.86
420.0    6.00       2.47          53.75             32.30             5.90
420.0    7.00       3.36          56.25             33.80             6.17
420.0    8.00       4.38          56.88             34.17             6.24
420.0    9.00       5.56          53.81             32.33             5.90
420.0    10.00       6.87          48.53             29.16             5.32
420.0    11.00       8.31          54.16             32.54             5.94
420.0    12.00       9.87          53.94             32.41             5.92
430.0    1.00       0.06          61.38             36.88             6.73
430.0    2.00       0.24          52.78             31.71             5.79
430.0    3.00       0.54          50.49             30.34             5.54
430.0    4.00       0.96          52.35             31.46             5.74
430.0    5.00       1.50          55.57             33.39             6.10
430.0    6.00       2.16          54.07             32.48             5.93
430.0    7.00       2.94          52.02             31.25             5.71
430.0    8.00       3.84          55.03             33.07             6.04
430.0    9.00       4.85          55.64             33.43             6.10
430.0    10.00       5.99          51.02             30.65             5.60
430.0    11.00       7.26          55.81             33.53             6.12
430.0    12.00       8.63          57.56             34.58             6.31
440.0    1.00       0.05          51.66             31.04             5.67
440.0    2.00       0.21          50.62             30.41             5.55
440.0    3.00       0.47          50.64             30.43             5.55
440.0    4.00       0.84          53.98             32.43             5.92
440.0    5.00       1.32          53.18             31.95             5.83
440.0    6.00       1.89          50.59             30.39             5.55
440.0    7.00       2.57          57.88             34.78             6.35
440.0    8.00       3.37          57.36             34.46             6.29
440.0    9.00       4.25          53.06             31.88             5.82
